Datum,Neerslag [mm]
1 jan. 2019,0.8
2 jan. 2019,0.1
3 jan. 2019,0
4 jan. 2019,0
5 jan. 2019,0.4
6 jan. 2019,0
7 jan. 2019,1.8
8 jan. 2019,1.7
9 jan. 2019,0.4
10 jan. 2019,0.8
11 jan. 2019,1.2
12 jan. 2019,4.5
13 jan. 2019,5.6
14 jan. 2019,1
15 jan. 2019,0
16 jan. 2019,2.2
17 jan. 2019,6.5
18 jan. 2019,0
19 jan. 2019,0
20 jan. 2019,0
21 jan. 2019,0
22 jan. 2019,1.4
23 jan. 2019,0
24 jan. 2019,0
25 jan. 2019,1.6
26 jan. 2019,3.1
27 jan. 2019,4.6
28 jan. 2019,3.3
29 jan. 2019,0
30 jan. 2019,2.7
31 jan. 2019,0
1 feb. 2019,1.5
2 feb. 2019,3.7
3 feb. 2019,0
4 feb. 2019,1.6
5 feb. 2019,0
6 feb. 2019,10.3
7 feb. 2019,4
8 feb. 2019,3.7
9 feb. 2019,0.3
10 feb. 2019,28.6
11 feb. 2019,0.2
12 feb. 2019,0
13 feb. 2019,0
14 feb. 2019,0
15 feb. 2019,0
16 feb. 2019,0
17 feb. 2019,0
18 feb. 2019,0
19 feb. 2019,0
20 feb. 2019,0
21 feb. 2019,1.7
22 feb. 2019,0
23 feb. 2019,0
24 feb. 2019,0
25 feb. 2019,0
26 feb. 2019,0
27 feb. 2019,0
28 feb. 2019,1.5
1 mrt. 2019,2.3
2 mrt. 2019,0.1
3 mrt. 2019,4.8
4 mrt. 2019,3.8
5 mrt. 2019,0.1
6 mrt. 2019,0.4
7 mrt. 2019,13.2
8 mrt. 2019,2.4
9 mrt. 2019,2.6
10 mrt. 2019,12.2
11 mrt. 2019,1.2
12 mrt. 2019,3.7
13 mrt. 2019,7.4
14 mrt. 2019,9.5
15 mrt. 2019,6.8
16 mrt. 2019,9.7
17 mrt. 2019,6.7
18 mrt. 2019,3.1
19 mrt. 2019,0
20 mrt. 2019,0
21 mrt. 2019,0
22 mrt. 2019,0
23 mrt. 2019,0
24 mrt. 2019,0
25 mrt. 2019,1.7
26 mrt. 2019,0
27 mrt. 2019,0
28 mrt. 2019,0
29 mrt. 2019,0
30 mrt. 2019,0
31 mrt. 2019,0
1 apr. 2019,0
2 apr. 2019,5.2
3 apr. 2019,1.1
4 apr. 2019,0
5 apr. 2019,0
6 apr. 2019,0
7 apr. 2019,0.1
8 apr. 2019,0
9 apr. 2019,0
10 apr. 2019,0
11 apr. 2019,0
12 apr. 2019,0
13 apr. 2019,0
14 apr. 2019,0
15 apr. 2019,0
16 apr. 2019,0
17 apr. 2019,0
18 apr. 2019,0
19 apr. 2019,0
20 apr. 2019,0
21 apr. 2019,0
22 apr. 2019,0
23 apr. 2019,0
24 apr. 2019,6.4
25 apr. 2019,1.9
26 apr. 2019,0
27 apr. 2019,5.7
28 apr. 2019,0.8
29 apr. 2019,0
30 apr. 2019,0.1
1 mei. 2019,0
2 mei. 2019,1.1
3 mei. 2019,1.6
4 mei. 2019,2.9
5 mei. 2019,0.5
6 mei. 2019,0
7 mei. 2019,0
8 mei. 2019,2.6
9 mei. 2019,4.8
10 mei. 2019,4.9
11 mei. 2019,0
12 mei. 2019,0
13 mei. 2019,0
14 mei. 2019,0
15 mei. 2019,0
16 mei. 2019,0
17 mei. 2019,0
18 mei. 2019,0
19 mei. 2019,0
20 mei. 2019,0
21 mei. 2019,0
22 mei. 2019,0
23 mei. 2019,0
24 mei. 2019,0
25 mei. 2019,0
26 mei. 2019,1.7
27 mei. 2019,0
28 mei. 2019,2.5
29 mei. 2019,0
30 mei. 2019,0
31 mei. 2019,0
1 jun. 2019,0
2 jun. 2019,0
3 jun. 2019,0
4 jun. 2019,10.8
5 jun. 2019,26.8
6 jun. 2019,8.5
7 jun. 2019,1.4
8 jun. 2019,2.4
9 jun. 2019,0
10 jun. 2019,0.7
11 jun. 2019,0
12 jun. 2019,22.8
13 jun. 2019,13.1
14 jun. 2019,0.7
15 jun. 2019,7
16 jun. 2019,0
17 jun. 2019,0
18 jun. 2019,0
19 jun. 2019,19.5
20 jun. 2019,0.1
21 jun. 2019,0
22 jun. 2019,0
23 jun. 2019,0
24 jun. 2019,0
25 jun. 2019,0
26 jun. 2019,0
27 jun. 2019,0
28 jun. 2019,0
29 jun. 2019,0
30 jun. 2019,0
1 jul. 2019,0
2 jul. 2019,0
3 jul. 2019,0
4 jul. 2019,0
5 jul. 2019,0
6 jul. 2019,3.4
7 jul. 2019,0
8 jul. 2019,0
9 jul. 2019,0
10 jul. 2019,4.5
11 jul. 2019,0
